Maximum_error,thermal_zone,Date_imputed,vanishing_time,Time of maximum error,Time_for_maximum_error,Time from maximum to tolerated error
0.5171199782055638,N1AU403,2018-01-25 07:20:00,1.4305555555555556,2018-01-25 14:20:00,0 days 07:00:00,1 days 03:20:00
0.2930088214703268,N1AU403,2018-02-02 07:20:00,1.2152777777777777,2018-02-02 15:40:00,0 days 08:20:00,0 days 20:50:00
0.2278163015636209,N1AU403,2018-02-10 07:20:00,1.1736111111111112,2018-02-10 17:10:00,0 days 09:50:00,0 days 18:20:00
0.0860951577384909,N1AU403,2018-02-18 07:10:00,0.6319444444444444,2018-02-18 17:30:00,0 days 10:20:00,0 days 04:50:00
0.324523443540226,N1AU403,2018-02-26 07:10:00,1.868055555555556,2018-02-26 17:50:00,0 days 10:40:00,1 days 10:10:00
0.0374473035136517,N1AU403,2018-03-06 07:00:00,0.6319444444444444,2018-03-06 13:30:00,0 days 06:30:00,0 days 08:40:00
0.0827234573266011,N1AU403,2018-03-14 07:00:00,0.6388888888888888,2018-03-14 14:20:00,0 days 07:20:00,0 days 08:00:00
0.2683685104343674,N1AU403,2018-03-22 06:50:00,2.055555555555556,2018-03-22 16:10:00,0 days 09:20:00,1 days 16:00:00
0.0741392700532657,N1AU403,2018-03-30 06:40:00,0.6319444444444444,2018-03-30 11:30:00,0 days 04:50:00,0 days 10:20:00
0.2810319554524234,N1AU403,2018-04-07 06:40:00,0.6319444444444444,2018-04-07 16:30:00,0 days 09:50:00,0 days 05:20:00
0.175023361442193,N1AU403,2018-04-15 06:30:00,0.6944444444444444,2018-04-15 14:50:00,0 days 08:20:00,0 days 08:20:00
0.4404431232533845,N1AU403,2018-04-23 06:20:00,2.6875,2018-04-23 16:10:00,0 days 09:50:00,2 days 06:40:00
0.1578225811221294,N1AU403,2018-05-01 06:20:00,0.8333333333333334,2018-05-01 16:50:00,0 days 10:30:00,0 days 09:30:00
0.1428457607840627,N1AU403,2018-05-09 06:10:00,0.6319444444444444,2018-05-09 13:40:00,0 days 07:30:00,0 days 07:40:00
0.4958543351317956,N1AU403,2018-05-17 06:10:00,3.055555555555556,2018-05-17 17:00:00,0 days 10:50:00,2 days 14:30:00
0.2517219261504806,N1AU403,2018-05-25 06:10:00,1.9722222222222223,2018-05-25 17:40:00,0 days 11:30:00,1 days 11:50:00
0.1573165778825895,N1AU403,2018-06-02 06:10:00,0.6527777777777778,2018-06-02 14:00:00,0 days 07:50:00,0 days 07:50:00
0.3640006556017496,N1AU403,2018-06-10 06:10:00,1.8888888888888888,2018-06-10 16:50:00,0 days 10:40:00,1 days 10:40:00
1.64167332219035,N1AU403,2018-06-18 06:10:00,6.055555555555555,2018-06-18 17:00:00,0 days 10:50:00,5 days 14:30:00
0.6278278243359843,N1AU403,2018-06-26 06:10:00,0.7847222222222222,2018-06-26 11:10:00,0 days 05:00:00,0 days 13:50:00
0.2317394180964918,N1AU403,2018-07-04 06:10:00,0.6388888888888888,2018-07-04 09:00:00,0 days 02:50:00,0 days 12:30:00
0.4006280588766593,N1AU403,2018-07-12 06:20:00,2.048611111111111,2018-07-12 14:20:00,0 days 08:00:00,1 days 17:10:00
0.2678896074791019,N1AU403,2018-07-20 06:20:00,0.6597222222222222,2018-07-20 17:00:00,0 days 10:40:00,0 days 05:10:00
0.2859632428686183,N1AU403,2018-07-28 06:20:00,1.993055555555556,2018-07-28 18:20:00,0 days 12:00:00,1 days 11:50:00
0.3104114959747406,N1AU403,2018-08-05 06:20:00,1.7847222222222223,2018-08-05 17:10:00,0 days 10:50:00,1 days 08:00:00
0.2756486038187731,N1AU403,2018-08-13 06:30:00,1.4236111111111112,2018-08-13 17:20:00,0 days 10:50:00,0 days 23:20:00
0.3341254329723853,N1AU403,2018-08-21 06:30:00,0.6805555555555556,2018-08-21 12:40:00,0 days 06:10:00,0 days 10:10:00
